,Jurisdicción,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares que utilizan garrafa (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Longitud,Latitud
0,TOTAL PAÍS,45892285,15932302,85.0,61.2,52.6,39.0,76.5,68.4,17.3,93.4,35.6,-65.16699767720381,-35.38995999903564
1,CIUDAD AUTÓNOMA DE BUENOS AIRES,3121707,1406735,98.0,98.8,78.5,5.9,90.0,54.0,34.5,96.8,16.2,-58.44585,-34.61449
2,BUENOS AIRES,17523996,6051550,76.3,59.4,59.9,33.3,81.4,69.5,16.2,94.5,34.9,-60.54127,-36.65631
3,CATAMARCA,429562,135153,93.8,51.6,15.3,75.0,63.7,81.4,8.1,93.5,40.5,-66.96118,-27.32746
4,CHACO,1129606,374487,76.6,32.4,1.5,84.8,62.0,77.9,8.4,89.8,52.0,-60.77686,-26.3819
5,CHUBUT,592621,215257,96.2,81.2,86.2,9.3,78.6,64.1,21.1,96.5,27.7,-68.51292,-43.78508
6,CÓRDOBA,3840905,1394400,93.8,45.0,51.0,41.2,77.8,61.5,24.0,94.8,33.9,-63.80242,-32.12402
7,CORRIENTES,1212696,379129,88.5,60.6,1.3,85.4,56.8,73.9,11.4,89.9,43.7,-57.79524,-28.77094
8,ENTRE RÍOS,1425578,500660,91.1,78.3,30.8,63.1,74.0,69.0,15.9,93.6,35.4,-59.19838,-32.05106
9,FORMOSA,607419,198206,77.8,41.4,0.9,82.0,56.4,76.7,9.7,88.3,55.7,-59.94773,-24.89421
10,JUJUY,811611,245706,95.7,66.5,35.0,57.1,66.7,75.4,9.5,92.7,46.1,-65.76756,-23.31862
11,LA PAMPA,361859,141573,84.8,67.4,89.5,7.3,85.6,67.2,19.0,95.6,31.8,-65.44526,-37.1269
12,LA RIOJA,383865,126256,93.3,59.1,11.1,77.6,75.0,76.5,12.3,94.7,41.4,-67.19445,-29.67921
13,MENDOZA,2043540,652184,92.6,66.9,63.8,30.0,75.0,61.6,19.4,93.4,37.7,-68.57935,-34.61219
14,MISIONES,1278873,425667,79.7,25.4,2.6,83.5,61.4,75.8,12.2,88.6,46.4,-54.64698,-26.87313
15,NEUQUÉN,710814,257381,92.9,75.6,84.4,11.5,77.1,65.8,20.7,94.3,31.4,-70.10977,-38.62727
16,RÍO NEGRO,750768,278935,92.3,67.3,82.8,12.8,75.1,65.1,20.2,94.5,34.5,-67.21076,-40.41024
17,SALTA,1441351,418430,91.2,69.3,45.9,42.6,62.7,73.6,11.3,90.7,47.6,-64.80272,-24.29784
18,SAN JUAN,822853,247094,94.4,47.1,49.6,42.3,63.6,64.8,14.0,91.9,44.5,-68.89213,-30.85953
19,SAN LUIS,542069,185549,93.3,73.7,50.8,41.5,78.2,65.2,18.4,92.7,36.9,-66.03211,-33.74313
20,SANTA CRUZ,337226,119262,89.7,79.8,93.0,3.0,85.2,60.5,26.9,95.2,16.9,-69.91941,-48.77641
21,SANTA FE,3544908,1289967,85.2,59.5,48.0,45.1,76.8,67.8,17.8,92.9,30.5,-60.93482,-30.67541
22,SANTIAGO DEL ESTERO,1060906,316992,79.2,26.9,23.5,65.1,46.7,85.7,4.9,89.0,55.9,-63.25152,-27.77268
23,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO,185732,66187,93.5,90.3,82.4,5.4,82.6,58.4,28.7,94.0,15.3,-67.41606,-54.33024
24,TUCUMÁN,1731820,505542,90.3,52.7,40.9,53.8,64.2,76.8,8.9,90.6,34.4,-65.36426,-26.94625
